season,episode,key,date,viewers
1,1,1 : 01,22/9/94,21.50
1,2,1 : 02,29/9/94,20.20
1,3,1 : 03,6/10/94,19.50
1,4,1 : 04,13/10/94,19.70
1,5,1 : 05,20/10/94,18.60
1,6,1 : 06,27/10/94,18.20
1,7,1 : 07,3/11/94,23.50
1,8,1 : 08,10/11/94,21.10
1,9,1 : 09,17/11/94,23.10
1,10,1 : 10,15/12/94,19.90
1,11,1 : 11,5/1/95,26.60
1,12,1 : 12,12/1/95,24.00
1,13,1 : 13,19/1/95,25.80
1,14,1 : 14,9/2/95,23.80
1,15,1 : 15,16/2/95,24.80
1,16,1 : 16,23/2/95,26.10
1,17,1 : 17,23/2/95,30.50
1,18,1 : 18,2/3/95,30.40
1,19,1 : 19,9/3/95,29.40
1,20,1 : 20,6/4/95,30.00
1,21,1 : 21,27/4/95,28.40
1,22,1 : 22,4/5/95,29.90
1,23,1 : 23,11/5/95,28.70
1,24,1 : 24,18/5/95,31.30
2,1,2 : 01,21/9/95,32.10
2,2,2 : 02,28/9/95,29.80
2,3,2 : 03,5/10/95,30.20
2,4,2 : 04,12/10/95,28.10
2,5,2 : 05,19/10/95,28.30
2,6,2 : 06,2/11/95,30.20
2,7,2 : 07,9/11/95,30.50
2,8,2 : 08,16/11/95,32.90
2,9,2 : 09,14/12/95,27.80
2,10,2 : 10,4/1/96,32.20
2,11,2 : 11,18/1/96,31.60
2,12,2 : 12,28/1/96,52.90
2,13,2 : 13,0/1/00,52.90
2,14,2 : 14,1/2/96,33.60
2,15,2 : 15,8/2/96,32.90
2,16,2 : 16,15/2/96,31.10
2,17,2 : 17,22/2/96,30.20
2,18,2 : 18,21/3/96,30.10
2,19,2 : 19,28/3/96,31.20
2,20,2 : 20,4/4/96,27.40
2,21,2 : 21,25/4/96,24.70
2,22,2 : 22,2/5/96,25.50
2,23,2 : 23,9/5/96,26.10
2,24,2 : 24,16/5/96,29.00
3,1,3 : 01,19/9/96,26.80
3,2,3 : 02,26/9/96,26.70
3,3,3 : 03,3/10/96,25.20
3,4,3 : 04,10/10/96,26.10
3,5,3 : 05,17/10/96,23.30
3,6,3 : 06,31/10/96,23.30
