"","id","topic","value","topic_num","top_terms","name"
"1","1 : 01","t_1",0.00395943988411395,1,"sister, meet, give, part, honey","Monica Gets A Roommate"
"2","1 : 01","t_14",0.369000482858522,14,"good, god, time, great, wait","Monica Gets A Roommate"
"3","1 : 01","t_6",9.65717044905843e-05,6,"emma, mike, guys, baby, love","Monica Gets A Roommate"
"4","1 : 01","t_15",0.00202800579430227,15,"emily, married, love, london, pheebs","Monica Gets A Roommate"
"5","1 : 01","t_13",0.0242394978271366,13,"guys, thanksgiving, year, dog, school","Monica Gets A Roommate"
"6","1 : 01","t_7",0.0551424432641236,7,"monkey, marcel, people, joke, drake","Monica Gets A Roommate"
"7","1 : 01","t_11",0.0252052148720425,11,"cat, thing, mark, god, love","Monica Gets A Roommate"
"8","1 : 01","t_8",0.0242394978271366,8,"dad, birthday, mom, guys, party","Monica Gets A Roommate"
"9","1 : 01","t_9",0.022308063737325,9,"baby, ring, pregnant, guys, god","Monica Gets A Roommate"
"10","1 : 01","t_5",0.0802510864316755,5,"guys, big, bye, julie, listen","Monica Gets A Roommate"
"11","1 : 01","t_10",0.0290680830516659,10,"job, guy, guys, great, good","Monica Gets A Roommate"
"12","1 : 01","t_4",0.0696281989377112,4,"janice, carol, guy, woman, susan","Monica Gets A Roommate"
"13","1 : 01","t_2",0.248285852245292,2,"wedding, married, guys, love, parents","Monica Gets A Roommate"
"14","1 : 01","t_3",0.0348623853211009,3,"guys, game, money, apartment, move","Monica Gets A Roommate"
"15","1 : 01","t_12",0.0116851762433607,12,"guys, love, good, plane, bob","Monica Gets A Roommate"
"16","1 : 02","t_7",0.10478997789241,7,"monkey, marcel, people, joke, drake","The Sonogram At The End"
"17","1 : 02","t_5",0.0310980103168755,5,"guys, big, bye, julie, listen","The Sonogram At The End"
"18","1 : 02","t_2",0.0281503316138541,2,"wedding, married, guys, love, parents","The Sonogram At The End"
"19","1 : 02","t_6",0.000147383935151069,6,"emma, mike, guys, baby, love","The Sonogram At The End"
"20","1 : 02","t_9",0.137214443625645,9,"baby, ring, pregnant, guys, god","The Sonogram At The End"
"21","1 : 02","t_8",0.000147383935151069,8,"dad, birthday, mom, guys, party","The Sonogram At The End"
"22","1 : 02","t_11",0.000147383935151069,11,"cat, thing, mark, god, love","The Sonogram At The End"
"23","1 : 02","t_13",0.0222549742078113,13,"guys, thanksgiving, year, dog, school","The Sonogram At The End"
"24","1 : 02","t_15",0.000147383935151069,15,"emily, married, love, london, pheebs","The Sonogram At The End"
"25","1 : 02","t_1",0.0178334561532793,1,"sister, meet, give, part, honey","The Sonogram At The End"
"26","1 : 02","t_3",0.0325718496683861,3,"guys, game, money, apartment, move","The Sonogram At The End"
"27","1 : 02","t_12",0.0134119380987472,12,"guys, love, good, plane, bob","The Sonogram At The End"
"28","1 : 02","t_14",0.352394988946205,14,"good, god, time, great, wait","The Sonogram At The End"
"29","1 : 02","t_4",0.237435519528371,4,"janice, carol, guy, woman, susan","The Sonogram At The End"
"30","1 : 02","t_10",0.0222549742078113,10,"job, guy, guys, great, good","The Sonogram At The End"
"31","1 : 03","t_8",0.272094861660079,8,"dad, birthday, mom, guys, party","The Thumb"
"32","1 : 03","t_10",0.0349407114624506,10,"job, guy, guys, great, good","The Thumb"
"33","1 : 03","t_4",0.0033201581027668,4,"janice, carol, guy, woman, susan","The Thumb"
"34","1 : 03","t_1",0.0112252964426877,1,"sister, meet, give, part, honey","The Thumb"
"35","1 : 03","t_13",0.000158102766798419,13,"guys, thanksgiving, year, dog, school","The Thumb"
"36","1 : 03","t_3",0.169328063241107,3,"guys, game, money, apartment, move","The Thumb"
"37","1 : 03","t_12",0.00964426877470356,12,"guys, love, good, plane, bob","The Thumb"
"38","1 : 03","t_9",0.000158102766798419,9,"baby, ring, pregnant, guys, god","The Thumb"
"39","1 : 03","t_14",0.428616600790514,14,"good, god, time, great, wait","The Thumb"
"40","1 : 03","t_2",0.000158102766798419,2,"wedding, married, guys, love, parents","The Thumb"
"41","1 : 03","t_7",0.0365217391304348,7,"monkey, marcel, people, joke, drake","The Thumb"
"42","1 : 03","t_5",0.0238735177865613,5,"guys, big, bye, julie, listen","The Thumb"
"43","1 : 03","t_6",0.000158102766798419,6,"emma, mike, guys, baby, love","The Thumb"
"44","1 : 03","t_15",0.00806324110671937,15,"emily, married, love, london, pheebs","The Thumb"
"45","1 : 03","t_11",0.00173913043478261,11,"cat, thing, mark, god, love","The Thumb"
"46","1 : 04","t_1",0.00410868124585818,1,"sister, meet, give, part, honey","George Stephanopoulos"
"47","1 : 04","t_15",0.00145791915175613,15,"emily, married, love, london, pheebs","George Stephanopoulos"
"48","1 : 04","t_8",0.14857521537442,8,"dad, birthday, mom, guys, party","George Stephanopoulos"
"49","1 : 04","t_9",0.000132538104705103,9,"baby, ring, pregnant, guys, god","George Stephanopoulos"
"50","1 : 04","t_10",0.0279655400927767,10,"job, guy, guys, great, good","George Stephanopoulos"
"51","1 : 04","t_14",0.411000662690524,14,"good, god, time, great, wait","George Stephanopoulos"
"52","1 : 04","t_12",0.000132538104705103,12,"guys, love, good, plane, bob","George Stephanopoulos"
"53","1 : 04","t_2",0.00145791915175613,2,"wedding, married, guys, love, parents","George Stephanopoulos"
"54","1 : 04","t_11",0.0398939695162359,11,"cat, thing, mark, god, love","George Stephanopoulos"
"55","1 : 04","t_5",0.091583830351226,5,"guys, big, bye, julie, listen","George Stephanopoulos"
"56","1 : 04","t_13",0.000132538104705103,13,"guys, thanksgiving, year, dog, school","George Stephanopoulos"
"57","1 : 04","t_3",0.0557985420808482,3,"guys, game, money, apartment, move","George Stephanopoulos"
"58","1 : 04","t_7",0.0783300198807157,7,"monkey, marcel, people, joke, drake","George Stephanopoulos"
"59","1 : 04","t_6",0.000132538104705103,6,"emma, mike, guys, baby, love","George Stephanopoulos"
"60","1 : 04","t_4",0.139297548045063,4,"janice, carol, guy, woman, susan","George Stephanopoulos"
"61","1 : 05","t_12",0.107158351409978,12,"guys, love, good, plane, bob","The East German Laundry Detergent"
"62","1 : 05","t_11",0.195372378886479,11,"cat, thing, mark, god, love","The East German Laundry Detergent"
"63","1 : 05","t_1",0.00737527114967462,1,"sister, meet, give, part, honey","The East German Laundry Detergent"
"64","1 : 05","t_7",0.000144613159797542,7,"monkey, marcel, people, joke, drake","The East German Laundry Detergent"
"65","1 : 05","t_3",0.000144613159797542,3,"guys, game, money, apartment, move","The East German Laundry Detergent"
"66","1 : 05","t_14",0.426753434562545,14,"good, god, time, great, wait","The East German Laundry Detergent"
"67","1 : 05","t_13",0.000144613159797542,13,"guys, thanksgiving, year, dog, school","The East German Laundry Detergent"
"68","1 : 05","t_9",0.000144613159797542,9,"baby, ring, pregnant, guys, god","The East German Laundry Detergent"
"69","1 : 05","t_5",0.110050614605929,5,"guys, big, bye, julie, listen","The East German Laundry Detergent"
"70","1 : 05","t_8",0.0218365871294288,8,"dad, birthday, mom, guys, party","The East German Laundry Detergent"
"71","1 : 05","t_2",0.000144613159797542,2,"wedding, married, guys, love, parents","The East German Laundry Detergent"
"72","1 : 05","t_15",0.000144613159797542,15,"emily, married, love, london, pheebs","The East German Laundry Detergent"
"73","1 : 05","t_6",0.000144613159797542,6,"emma, mike, guys, baby, love","The East German Laundry Detergent"
"74","1 : 05","t_10",0.0189443239334779,10,"job, guy, guys, great, good","The East German Laundry Detergent"
"75","1 : 05","t_4",0.111496746203905,4,"janice, carol, guy, woman, susan","The East German Laundry Detergent"
"76","1 : 06","t_7",0.0534418948926721,7,"monkey, marcel, people, joke, drake","The Butt"
"77","1 : 06","t_3",0.0549222797927461,3,"guys, game, money, apartment, move","The Butt"
