"","id","topic","value","topic_num","top_terms","name"
"1","1 : 01","t_1",0.0212602212602213,1,"guys, married, night, moving, game","Monica Gets A Roommate"
"2","1 : 01","t_14",0.00490620490620491,14,"job, money, audition, part, house","Monica Gets A Roommate"
"3","1 : 01","t_6",0.0751322751322751,6,"date, guy, call, tonight, work","Monica Gets A Roommate"
"4","1 : 01","t_15",0.00105820105820106,15,"emily, love, london, place, plane","Monica Gets A Roommate"
"5","1 : 01","t_13",0.0962962962962963,13,"richard, dad, marcel, monkey, mom","Monica Gets A Roommate"
"6","1 : 01","t_7",0.362770562770563,7,"good, god, time, great, guys","Monica Gets A Roommate"
"7","1 : 01","t_11",0.0260702260702261,11,"alright, guys, tonight, fine, man","Monica Gets A Roommate"
"8","1 : 01","t_8",0.313708513708514,8,"god, naked, barry, blah, great","Monica Gets A Roommate"
"9","1 : 01","t_9",9.62000962000962e-05,9,"emma, mike, alright, guys, charlie","Monica Gets A Roommate"
"10","1 : 01","t_5",0.00105820105820106,5,"party, birthday, ben, christmas, year","Monica Gets A Roommate"
"11","1 : 01","t_10",0.0732082732082732,10,"wedding, married, love, marry, ring","Monica Gets A Roommate"
"12","1 : 01","t_4",0.0202982202982203,4,"baby, babies, ben, carol, doctor","Monica Gets A Roommate"
"13","1 : 01","t_2",0.00298220298220298,2,"thanksgiving, cat, year, sister, happy","Monica Gets A Roommate"
"14","1 : 01","t_3",9.62000962000962e-05,3,"joke, funny, car, show, story","Monica Gets A Roommate"
"15","1 : 01","t_12",0.00105820105820106,12,"play, janice, game, woman, kiss","Monica Gets A Roommate"
"16","1 : 02","t_7",0.355245781364637,7,"good, god, time, great, guys","The Sonogram At The End"
"17","1 : 02","t_5",0.000146735143066764,5,"party, birthday, ben, christmas, year","The Sonogram At The End"
"18","1 : 02","t_2",0.0412325752017608,2,"thanksgiving, cat, year, sister, happy","The Sonogram At The End"
"19","1 : 02","t_6",0.0104181951577403,6,"date, guy, call, tonight, work","The Sonogram At The End"
"20","1 : 02","t_9",0.000146735143066764,9,"emma, mike, alright, guys, charlie","The Sonogram At The End"
"21","1 : 02","t_8",0.113132795304475,8,"god, naked, barry, blah, great","The Sonogram At The End"
"22","1 : 02","t_11",0.0309611151870873,11,"alright, guys, tonight, fine, man","The Sonogram At The End"
